         3576813 function calls (3520281 primitive calls) in 30.587 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      774    0.002    0.000    0.087    0.000 core.py:4106(__truediv__)
     1288    0.002    0.000    0.005    0.000 artist.py:939(set_zorder)
     4428    0.002    0.000    0.002    0.000 transforms.py:986(get_points)
  234/212    0.002    0.000    0.059    0.000 axis.py:449(_get_tick2line)
       66    0.002    0.000    0.002    0.000 {dir}
       70    0.002    0.000    0.787    0.011 axis.py:1064(_get_tick_bboxes)
     1764    0.002    0.000    0.006    0.000 font_manager.py:800(set_family)
      968    0.002    0.000    0.003    0.000 lines.py:894(_get_markerfacecolor)
      337    0.002    0.000    0.009    0.000 _base.py:786(get_yaxis_text1_transform)
     1297    0.002    0.000    0.025    0.000 font_manager.py:1011(get)
